Card,strain/medium,Description,visual concept,Symbolism,Notes
ten of swords,Super-Cat-Piss,"The Super Cat Piss strain smells just like you would imagine.  The name doesn't provoke very appetizing ideas but this is a great sativa.
","An alien lies on the ground with ten swords in their back, under a bright and clear sky. Nearby, a whimsical alien cat is playfully urinating near the body, adding a humorous yet symbolic element to the scene. The environment subtly incorporates elements that suggest the strain's uplifting sativa effects and its unique, pungent aroma.","The Ten of Swords symbolizes defeat, yet the cat's action introduces a note of irreverence and change, akin to the unexpected effects of Super Cat Piss. This playful imagery suggests finding humor and new beginnings in adversity, aligning with the strain's mood-altering properties.", 
,,,,, 
one of pentacles,Paris-Xxx,"Paris XXX is an extension of the Paris OG family that has placed in multiple Cannabis Cup competitions. This indica variety combines Headband OG, Chemdawg, and OG Kush genetics, creating a crisp, piney, and woody flavor on inhale. The fast-acting effects provide a balance of cerebral stimulation and full-body relaxation. Paris XXX is known to increase your appetite while also sparking creativity. ","An alien stands in a serene park at the heart of Paris, holding a glowing pentacle that emits a crisp, piney aura. The scene merges the tranquility of nature with subtle urban elements, such as distant views of Parisian architecture. The pentacle's design is elegant yet simple, reflecting the strain's robust and award-winning heritage.","This card signals the start of a prosperous venture. The blend of a quiet park setting with hints of the cityscape mirrors the strain's crisp and woody flavor, while the pentacle suggests the balanced cerebral and body effects that stimulate creativity and appetite. The integration of Parisian elements adds a touch of sophistication without overwhelming the natural simplicity of the scene.", 
two of pentacles,Moonwalker-Kush,"Moonwalker Kush is a balanced indica-dominant hybrid that is the genetic cross of Triple OG and Tahoe Alien. This odoriferous combination speaks volumes through its scent, which is thick with soured earth and a hint of pepper on the finish. The herbaceous terpene profile aligns nicely with this strain’s intense relaxation and moderate cerebral effects. Try Moonwalker Kush after dark to harness the sedative effects nestled below layers of trichomes and brown pistils.    ","An alien performs a graceful moonwalk dance on a celestial body, balancing two glowing pentacles, one in each hand. The backdrop is a starry sky, enhancing the surreal and balanced nature of the strain.","This card represents maintaining balance through dynamic changes. The act of moonwalking, a controlled yet fluid motion, mirrors the balancing act of managing the dual effects of relaxation and mild cerebral stimulation offered by Moonwalker Kush, making it ideal for evening use.", 
three of pentacles,Alohaberry,"Originating from the tropical islands of Hawaii, Alohaberry releases a pleasant aroma and taste of tropical berries. It is known for its unique sweet taste and because it is an equal hybrid, the effects are both mind and body. Flowering time for this plant is approximately 8-9 weeks.","Three aliens collaborate on cultivating a vibrant, tropical plant, symbolizing teamwork and skill development. The plant emits a berry-scented aura.","This card signifies collaboration and growth. The teamwork in cultivating the tropical Alohaberry plant mirrors the strain's balanced effects on mind and body, enhancing both creativity and relaxation.", 
four of pentacles,Purple-Swish,"Purple Swish is an intensely fruity indica strain. It’s a cross of Purple Urkle and Rare Dankness #1, and expresses dark buds with deep purple hues. This strain’s deep relaxation is coupled with giggly euphoria that will glue you to the couch with a smile on your face. The grower recommends utilizing Purple Swish for migraines, ADD/ADHD, and stress. Purple Swish also has a snappy 50 to 60 day flowering time.  ","An alien clutches four pentacles tightly, surrounded by purple hues and fruit scents, representing a protective stance over resources.","This card typically reflects security and control. The deep purple and fruity aroma of the surroundings emphasize the strain's soothing yet euphoric effects, ideal for stress and pain relief.", 
five of pentacles,Deep-Chunk,"This pure indica from Afghanistan was introduced to Northern California by breeder Tom Hill in the late 1970s. Deep Chunk combines a relatively short flowering time with exceptional resin production. It is often found with hints of purple or deep reds in the tight, compact flowers. The aroma of this stout, broad-leafed plant is regularly described with flavors of earth, hash, chocolate, and pine. Classified by many as 'old school,' Deep Chunk is sure to induce feelings of nostalgia that coincide with its ability to relieve ailments such as insomnia, digestive issues, and chronic pain.","An alien stands in a snowy scene, outside a warmly lit window, holding a pentacle carved with deep red and purple patterns, representing exclusion but near potential comfort.","This card often indicates hardship or health challenges. The strain's earthy and pine flavors, combined with its potent effects, offer relief, symbolized by the warmth just beyond the cold exterior.", 
six of pentacles,Diesel-Duff,"Diesel Duff is a happy, mellow strain that may just have your thoughts spinning off into new tangents. This strain’s effects tend to be more sativa in nature, taking after its Sour Diesel genetics. It’s a great choice for taming the mind during daytime and getting things done as long as your pursuits are not too labor-intensive.","An alien joyfully distributes six pentacles to a crowd, under a bright, energizing light, symbolizing generosity and fairness.","This card represents the distribution of wealth or knowledge. The uplifting and creative effects of Diesel Duff inspire generosity and active engagement, reflecting the strain's sativa influences.", 
seven of pentacles,S.A.G.E.,"S.A.G.E. stands for Sativa Afghani Genetic Equilibrium, it is a well balanced Haze crossed with a robust indica strain. Containing over 20% THC it took 2nd place in the blind test at the 2001 Cannabis Cup. Spicy sandalwood flavor combined with a long lasting and uplifting high make this the plant for those who like the best.","An alien patiently tends to seven flowering plants, reflecting the strain's balanced genetics and the rewards of careful cultivation.","This card signifies patience and investment in future gains. The spicy, uplifting effects of S.A.G.E. align with the gardener's anticipation of the harvest, symbolizing a well-balanced effort and outcome.", 
eight of pentacles,Peyote-Cookies,"Peyote Cookies by Barney’s Farm was created by crossing Peyote Purple and Barney’s famous Cookies Kush. It was developed through a detailed selection and back-crossing process that helped isolate the very best qualities of both parent strains, resulting in a vigorous hybrid flower that is easy to grow and pleasurable to consume. The flowering plant displays a dazzling ruby red and purple complexion coupled with delicious flavors of guava, vanilla, coffee, and earth. This strain is also mold and mildew-resistant and grows superbly indoors or outdoors.","An alien in a dimly lit workshop meticulously crafts eight intricate pentacles, each adorned with patterns of ruby red and deep purple, under a workshop light. The workshop is accented with hints of desert flora, echoing the strain's hardy nature.","This card represents dedication and mastery in one's craft. The careful crafting of each pentacle, adorned with colors reflecting the Peyote Cookies strain, symbolizes the complexity and robust flavors of the strain, mirroring the artisan's commitment and precision.", 
nine of pentacles,Pink-Sunset,"Pink Sunset is the indica phenotype of the delicious indica-dominant hybrid Sunset Sherbert. This sugary strain has roots in Girl Scout Cookies, but pushes the functional sedation of its OG Kush and Cherry Pie parentage into the realm of full-body relaxation. Use this strain after work to unwind or on the way to bed as a dreamy dessert that combats insomnia, chronic pain, and nausea.   ","An alien lounges in a lush garden under the warm hues of a pink sunset, surrounded by nine glowing pentacles. The air is filled with sugary, floral scents, enhancing the sense of luxurious solitude.",This card symbolizes abundance and self-reliance. The tranquil pink sunset reflects the strain's soothing effects and the serene environment promotes relaxation and contentment in one's achievements., 
ten of pentacles,Michael-Phelps-Og,"When word got out that the Olympic gold medalist enjoyed cannabis, it was only a matter of time before a strain would be named in his honor. Michael Phelps OG is a hybrid strain that no doubt carries OG Kush genetics, but other ancestry remains uncertain. You can smell the OG in this one as earthy, sweet notes of pine and lemon explode on the exhale. Small doses of Michael Phelps OG leave your mind and body agile, but overdo it and you’re more likely to find the effects ironically lazy and inactive.","An alien family gathers joyously in a garden setting, surrounded by ten glowing pentacles. One of the aliens proudly wears a gold medal, a subtle nod to Michael Phelps. The scene blends earthy and sweet aromas, creating a warm, inviting atmosphere.","This card symbolizes familial success and the establishment of a lasting legacy. The gold medal represents achievement and excellence, akin to the uplifting yet potent effects of Michael Phelps OG, emphasizing the importance of success combined with moderation and balance in life's pursuits.", 
,,,,, 
page of wands,Hot knife,"A method where small pieces of cannabis concentrate are placed on a heated metal surface, usually the tip of a knife, and the resulting vapor is inhaled. This is a simple and quick way to consume concentrates without specialized equipment.","An alien youth, full of curiosity, experimenting with a glowing, futuristic device that heats a strange, crystalline substance. The background could be a workshop or a lab filled with alien technology.","Represents the exploration and excitement of discovering new methods, much like the innovative approach of using a hot knife.", 
knight of wands,pipe,"A small, handheld device used to smoke cannabis. Pipes can be made from a variety of materials including glass, metal, and wood. Cannabis is placed in the bowl of the pipe, ignited, and the smoke is inhaled through the mouthpiece.","A dynamic, adventurous alien riding across a Martian landscape on a hover-bike, clutching a large, ornately designed pipe that emits colorful smoke trails.","Symbolizes the boldness and swift action of the Knight, channeling the direct and traditional experience of smoking a pipe.", 
queen of wands,dab,"A method of consuming cannabis concentrates that involves a small amount of concentrate (called a ""dab"") being placed on a hot surface, typically a nail or banger attached to a dab rig, and the resulting vapor is inhaled.","A regal and confident alien queen in a throne room, using a sophisticated dab rig that looks like it's made from meteoric metal and cosmic stones, surrounded by flames that morph into visions.","Reflects the queen's mastery and authority over powerful experiences, akin to the potent effects of dabbing.", 
king of wands,joint,"A rolled cannabis cigarette, typically made with rolling papers. Ground cannabis is evenly distributed in a paper, rolled, and sealed. The joint is then lit at one end and smoked.","A wise and commanding alien king holding a ceremonially crafted joint, sitting before a council of various interstellar beings.","Represents leadership and charisma, with the joint symbolizing the communal and traditional aspects of consumption.", 
,,,,, 
page of cups,Hash,A concentrate made from the compressed resin of the cannabis plant. Hash can vary in texture and can be smoked or vaporized.,"A youthful alien, intrigued, inspecting a shimmering, semi-solid hash that transforms into aquatic shapes (like fish) in its hands, near a serene intergalactic pond.","Symbolizes the dreamy and imaginative qualities of the Page, exploring the depths of emotion and the transformative experience of hash.", 
knight of cups,drinkable,"Cannabis-infused beverages, ranging from teas and coffees to sodas and cocktails. These deliver cannabinoids through ingestion, offering an alternative to smoking or vaporizing.","An elegant alien knight riding a creature resembling a sea dragon, holding a chalice filled with a sparkling, nebula-like liquid.","Embodies the adventurous pursuit of new emotional landscapes, much like the journey one embarks on with psychedelic beverages.", 
queen of cups,bath bomb,"A bath product infused with cannabis extracts. When dissolved in hot bath water, the cannabinoids are released, allowing absorption through the skin, providing a relaxing and potentially therapeutic experience.","A serene, empathic alien queen reclining in a cosmic pool that effervesces with an ethereal bath bomb, the water glowing with soothing energies.","Reflects the nurturing and introspective qualities of the Queen, highlighting the therapeutic and immersive experience of a bath bomb.", 
king of cups,bong,"A filtration device generally used for smoking cannabis, consisting of a water chamber and a bowl. Smoke passes through water before inhalation, cooling it and reducing its harshness.","A wise and composed alien king in a tranquil setting, using a bong that resembles a piece of ancient, celestial artifact.","Represents emotional stability and wisdom, with the bong symbolizing depth and reflection.", 
,,,,, 
page of swords,patches,Transdermal patches containing cannabinoids that are applied to the skin. They deliver a steady and controlled release of cannabinoids into the bloodstream over time.,"An intrigued young alien with several small, glowing THC patches adhered directly to his skin. Each patch emits a subtle, otherworldly glow as he explores a high-tech environment, his attention captured by the immediate effects.","Highlights the Page's curiosity and readiness to explore new ideas, paralleling the innovative and direct application of THC through skin patches.", 
knight of swords,tincture,"A liquid cannabis extract typically administered sublingually (under the tongue). Tinctures are made by dissolving cannabis in alcohol or another solvent, offering a smoke-free method of consumption.","A swift-moving alien knight, dashing through a storm on a steed that looks like it's made of vapor, holding a dropper bottle high. The storm clouds part where the tincture drops fall.","Emphasizes the direct and fast-acting nature of tinctures, akin to the sharp intellect and direct approach of the Knight of Swords.", 
queen of swords,butter / edible,"Cannabis-infused butter used as an ingredient in cooking or baking. Edibles are foods prepared with cannabis-infused ingredients, offering delayed but prolonged effects.","A wise and authoritative alien queen in a kitchen filled with cosmic ingredients, stirring a pot with a glowing, golden butter. The kitchen overlooks a landscape of intellectual constructs like books and scrolls.","Represents clarity of thought and the nurturing yet powerful nature of the Queen, using butter as a versatile base for wise and measured consumption.", 
king of swords,Pills/capsules,"Cannabis products encapsulated in small, digestible forms. These provide a precise dosage of cannabinoids in a convenient and discreet manner.","A strategic and commanding alien king in a modern, clean laboratory, examining a capsule held up to the light, showing a complex inner mechanism.","Stands for the control, authority, and precision of the King, paralleling the precise dosing and clinical approach of consuming THC through pills.", 
,,,,, 
page of pentacles,gummie,"Soft, chewable candies infused with cannabis extract. Gummies are a popular form of edible due to their ease of use, discrete nature, and variety of flavors.","A young, enthusiastic alien, experimenting with a machine that molds gummies into miniature planets and stars, surrounded by books and scrolls about herbal properties.","Represents the fascination and tangible opportunities of the Page, exploring the pleasurable and accessible form of THC gummies.", 
knight of pentacles,blunt,"A cigar hollowed out and refilled with cannabis. Blunts are larger than joints and typically wrapped in tobacco leaves, which adds a distinct flavor and effect due to the nicotine content.","A reliable and methodical alien knight sitting astride a robust, terranean beast, carefully rolling a giant blunt with leaves plucked from exotic, lush vegetation around. - he could also be off his horse to roll his blunt, since this knight is the slowest moving :>","Emphasizes the diligence and thorough nature of the Knight, mirroring the traditional and immersive experience of smoking a blunt.",
queen of pentacles,cart,"Short for cartridge, a pre-filled container of cannabis oil or concentrate that is attached to a battery-powered vaporizer. Carts offer a discreet and convenient way to vaporize cannabis.","A nurturing queen in a lush, vibrant garden, holding a vape pen with a cartridge that shows a tiny, flourishing ecosystem inside.","Highlights the Queen's connection to nurturing growth and providing care, akin to the clean, controlled intake from a THC cart.",
king of pentacles,topical,"Cannabis-infused creams, balms, lotions, or oils applied directly to the skin. Topicals are used for localized relief of pain or inflammation without psychoactive effects.","A prosperous alien king in a spa-like setting, applying a golden, shimmering topical cream that glows upon contact with the skin, surrounded by luxurious comforts.","Portrays the King’s material success and comfort, focusing on the practical and bodily benefits of topical THC applications.",
,,,,,
Major Arcana,,,,,
the fool,,,"An alien, eyes wide with wonder, floats just above the ground, held aloft by a cluster of colorful balloons shaped like various cannabis leaves and buds. It is about to float over a cliff into a swirling nebula of stars and cosmic lights below, holding a small, glowing orb that emits playful light.","Represents the beginning of an adventurous journey, stepping into the unknown with innocence and optimism. The floating alien suggests the leap of faith and the freedom from earthly constraints, while the glowing orb symbolizes the potential and energy of new adventures.",
the magician,,,"An alien stands at a futuristic console on a spaceship, manipulating holographic projections of cannabis plants and smoke that take various shapes, like DNA helices and galaxies. Each item represents an element (earth, air, fire, water) but in forms relevant to cannabis cultivation and use.","Represents resourcefulness, skill, and the manifestation of desires. The control console and holograms symbolize mastery over one's environment and the ability to shape reality, reflecting the Magician's connection to technology and creation.",
the high priestess,,,"An alien sits in a tranquil, dimly lit chamber, surrounded by ancient, glowing runes and a large, translucent moon hanging overhead. In its lap rests an open book with pages made of delicate, vaporous smoke, from which mystical symbols occasionally rise.","Represents intuition, mystery, and esoteric knowledge. The smoke-filled book and glowing runes symbolize hidden knowledge and the deeper, often subconscious truths waiting to be discovered, akin to the unveiling of profound insights through introspection.",
the empress,,,"Surrounded by a thriving alien greenhouse, an alien reclines comfortably on a throne made from living, intertwined cannabis plants. Various exotic, alien plants bloom around her, and small creatures pollinate the flowers, creating a vibrant ecosystem.","Represents fertility, nurturing, and abundance. The greenhouse full of life and the throne of cannabis plants symbolize the nurturing environment and the growth and protection provided by The Empress, embodying the creation and sustenance of life and ideas.",she probably smokin :p
the emporer,,,"An alien, regal and imposing, sits on a massive throne carved from asteroid rock, floating above a barren landscape. It holds a scepter topped with a glowing, crystalline THC molecule, and its cape billows in a cosmic wind.","Represents authority, structure, and control. The stark, imposing throne and the barren landscape symbolize the order and control exerted by The Emperor, while the scepter represents the power and responsibility held.",
the hierophant,,,"An elderly alien, wise and serene, sits beneath a giant, ancient tree whose leaves subtly resemble cannabis sativa leaves. Around it, younger aliens of various species gather, listening intently. The alien holds a staff topped with a complex emblem combining a cannabis leaf and a key, symbolizing knowledge and unlocking potential.","Represents tradition, spiritual wisdom, and guidance. The ancient tree symbolizes deep roots in tradition and knowledge, while the gathering of diverse species highlights the Hierophant’s role in mentoring and passing down cultural and spiritual wisdom. The staff with its emblem suggests the unlocking of deeper understanding and communal values through guidance.",
the lovers,,,"Two aliens sit facing each other, their expressions serene and connected. One alien gently blows smoke into the other’s mouth, creating a soft, swirling cloud of smoke between them. The background is a lush, otherworldly garden, symbolizing a paradise of sorts.","This card traditionally represents relationships and choices. The act of shotgun smoking here symbolizes deep sharing and interdependence, highlighting intimacy and the exchange of energy and ideas. It reflects the choices one makes in close relationships and the harmony achieved through mutual understanding and connection.",
the chariot,,,"An alien rides a sleek, futuristic vehicle that hovers above the ground, splitting a cloud of psychedelic smoke as it moves. The chariot is pulled by two robust, mythical creatures, one made of vibrant, living vines and the other of swirling, spectral smoke, representing control over both the material and immaterial.","Represents victory, control, and determination. The advanced chariot and the contrasting creatures symbolize the mastery of conflicting forces within oneself and the external environment. The journey through the psychedelic smoke illustrates overcoming challenges through willpower and control.",
the strength,,,"An alien gently interacts with a massive, fearsome beast that looks part-plant, part-animal, with thick vines and buds forming parts of its body. The alien, showing no fear, calms this creature by feeding it light from its hand, which the beast gently accepts.","Represents inner strength, courage, and compassion. The interaction between the alien and the beast highlights the power of compassion and understanding over brute force. The plant-animal hybrid creature symbolizes the integration of natural instincts with higher ideals.",
the hermit,,,"High atop a mountainous, moon-like landscape, an alien stands cloaked in a robe woven from fine, silvery threads resembling spider silk. It holds a lantern glowing with a green, ethereal light, casting a long shadow over the craggy terrain. The alien's other hand clutches a staff topped with an orb encasing a miniature, glowing cannabis garden.","Represents introspection, solitude, and guidance. The remote, moon-like setting and the glowing lantern symbolize the Hermit's search for personal truth and enlightenment away from the chaos of society. The miniature cannabis garden within the orb highlights self-sustenance and the nurturing of one's inner growth and understanding.",
the wheel of fortune,,,"An alien stands before a large, circular portal that spins with holographic symbols representing various stages of life and fate, including phases of a cannabis plant's life cycle from seed to harvest. The portal emits a shimmering, ever-changing light, and floating around this structure are small creatures, each trying to influence the spin in its favor.","Represents cycles, fate, and the turning points in life. The spinning portal with its life cycle symbols highlights the inevitabilities and the cyclical nature of life and destiny. The creatures around it signify the various external influences and the randomness of fortune.",
the justice,,,"An imposing alien judge sits behind a desk made of transparent crystal, scales made of delicate, glowing energy beams balancing two orbs—one filled with dense smoke, the other clear and bright. The judge's eyes emit a soft, impartial light, scanning both spheres equally.","Represents fairness, truth, and law. The energy beam scales with their contrasting orbs symbolize the weighing of actions and intentions, dark versus light, guilt versus innocence. The clear desk and the judge's illuminated eyes emphasize transparency and the pursuit of truth.",
the hanged man,,,"An alien hangs upside-down from a levitating ring in a serene, star-filled space, its limbs relaxed and its face calm, eyes closed in meditation. It holds a small, glowing cannabis leaf in one hand, which seems to emit a peaceful light enveloping the figure.","Represents suspension, sacrifice, and new perspectives. The serene cosmic setting and the meditative posture of the alien highlight introspection and the voluntary pause for a higher purpose. The glowing leaf symbolizes enlightenment or insight gained through such sacrifice.",OR holding a blunt. just sayin.
death,,,"A transformation scene where an alien figure walks through a misty portal, shedding its old, withered form which crumbles into compost that nourishes a vibrant cannabis garden emerging on the other side. The portal frame is adorned with symbols of regeneration and cycles.","Represents endings, transformation, and renewal. The shedding and regrowth illustrate the inevitable cycle of death leading to new life, emphasizing that endings are just the start of new beginnings. The composting process symbolizes the nourishment that past experiences provide to future growth.",
temperance,,,"An alien mixes two flowing streams of liquid—one fiery and glowing, the other cool and dark—into a large basin that emits a harmonious, luminescent vapor. Around the basin, a balanced ecosystem thrives, blending elements of alien flora and fauna.","Represents balance, moderation, and purpose. The mixing of opposing liquids symbolizes the harmonious blending of different aspects of life to achieve equilibrium. The thriving ecosystem around the basin illustrates the fruitful results of maintaining balance and moderation.",
the devil,,,"In a cavernous, shadowy setting, an alien figure with an imposing presence offers a glowing, tempting cannabis bud in one hand while the other hand manipulates shadowy tendrils that subtly bind the feet of other aliens around it. These aliens look mesmerized, unaware of their bindings.","Represents addiction, materialism, and bondage. The tempting bud symbolizes the allure of vices or material desires that can lead to one's own entrapment. The shadowy tendrils are the unseen chains of addiction and dependency that hold one back from true freedom.",
the tower,,,"A towering structure built from stacked, crystalline blocks resembling trichomes collapses under a strike from a meteor, while aliens around it flee or watch in awe. The tower breaks apart, revealing hidden growths of mold and rot inside, previously obscured by the structure's gleaming exterior.","Represents sudden upheaval, revelation, and the destruction of illusion. The collapse of the tower symbolizes the dramatic removal of false beliefs and structures built on unstable foundations. The hidden decay reveals the necessity of this disruptive change for true renewal.",
the star,,,"An alien kneels by a tranquil, reflective pool on a peaceful planet, pouring liquid light from two cosmic containers that nourish both the pool and the lush, otherworldly garden around it. Above, a constellation in the shape of a cannabis leaf shines brightly, illuminating the scene.","Represents hope, inspiration, and serenity. The act of nourishing the garden symbolizes healing and the rejuvenation of spirit and purpose. The cannabis leaf constellation symbolizes guidance and the connection to universal energies, offering hope and direction.",
the moon,,,"A mysterious landscape under a large, luminescent moon, casting shadows and distorting the shapes of alien flora and fauna. An alien figure follows a path forked between two towering cannabis plants, leading into a dark, unknown forest, its eyes reflecting both fear and curiosity.","Represents illusion, fear, and the subconscious journey. The distorted shadows and eerie light symbolize the confusing and often deceptive path of the subconscious. The forked path suggests the choices one must make with limited visibility, relying on intuition.",
the sun,,,"Vibrant and joyful, this card shows an alien landscape under a brilliant, radiant sun, where aliens of all shapes and sizes gather in a field of blooming cannabis plants, celebrating with music and dance. The atmosphere is one of pure joy and abundant life.","Represents success, vitality, and enlightenment. The celebration and thriving plants symbolize the fulfillment and happiness that comes with clarity and success. The radiant sun provides energy and life, encouraging growth and warmth.",
the judgement,,,"Aliens rise from a landscape that looks like a cosmic sea, responding to the call of a massive, resounding horn played by a celestial figure in the sky. Around them, clouds of vapor form images of their past actions, reflecting their life's journey.","Represents rebirth, reflection, and awakening. The rising from the cosmic sea symbolizes the resurrection of the self or a profound transformation based on the reflections and evaluations of past deeds. The celestial horn calls for a higher purpose or a new phase of life.",
the world,,,"a dark cosmos centered around a large, transparent sphere resembling a living cell. Inside, a network of roots and vines, including exotic cannabis strains, forms a miniature universe. Alien artifacts float around the sphere, symbolizing civilization and knowledge.","Represents integration, accomplishment, and interconnectedness. The sphere emphasizes the harmony of the universe, showing how all elements are interconnected. The floating artifacts symbolize mastery and the culmination of a journey, reflecting a higher understanding achieved through interconnectedness.",donno man