Card,Strain,Matching Criteria,Description
seven of cups,Island-Haze,"Creative, Uplifted, Sweet, Berry, Blueberry, sativa","Island Haze is an uplifting sativa with euphoria and creativity on tap. This strain is a cross of Cannalope Haze and Blue Jam (Atomic Haze x Blueberry), giving this strain a double dose of fruity terpenes and Haze genetics. Known for its happy mental state and whimsical creativity, this strain’s effects can assist with depression and fatigue. The bright fruit-forward aroma also makes this strain a crowd pleaser and welcome addition to sunny days outdoors."
seven of cups,Hashplant-Haze,"Happy, Uplifted, Blueberry, Sweet, Orange, sativa","The uplifting high of the Hashplant Haze is enjoyable throughout the day due to it's being a sativa dominant strain. The taste is that of fruity, hashy, haziness that comes from DNA Genetics by crossing California Hash Plant and Cannalope Haze.  "
seven of cups,Santa-Sativa,"Sleepy, Happy, Blueberry, Berry, Flowery, sativa","Santa Sativa by Dinafem Seeds is 70/30 sativa-dominant strain with a complex aroma. Reeking of lemons, cedar, pine, and incense, Santa Sativa delivers an elevated terpene profile consumers will fawn over. These unique terpenes are created from the combination of Haze #1 and a Skunk/Northern Lights cross, blending an uplifting buzz with mellow euphoria that lingers between the ears. Santa Sativa grows long, dense jade green buds that finish flowering in about 10 weeks."
seven of cups,Legendary-Lemon,"Aroused, Euphoric, Apricot, Chemical, Blueberry, sativa","Legendary Lemon is a sativa-dominant strain that blends two Mexican speed demons, Zacatecas and Oaxaca, with two zesty zingers, Lemon Skunk and Lemon Kush. This tangy bud hits hard with a strong cerebral buzz and offers whimsical euphoria that makes consumers feel light on their feet. Enjoy this strain to defeat depression or to frontload strong mood enhancing effects. The flavor has been described as “rich lemon custard.' "
eight of cups,Ultra-Banana,"Sleepy, Tingly, Ammonia, Lemon, Pineapple, indica","Ultra Banana is a delicious, sleep-inducing cross of MK Ultra and Banana Kush. MK Ultra possesses strong indica-dominant genetics, including OG Kush and G13, which are amplified by the sweet and floral elements of Banana Kush. This sedating combination lays into the body, weighing the consumer down with potent relaxation ideal for late evenings. Enjoy Ultra Banana to help relieve restlessness, anxiety, and general pain while stimulating introspective thought.    "
nine of cups,Thunderbird-Rose,"Euphoric, Uplifted, Rose, Sweet, Earthy, sativa","Thunderbird Rose is a sativa strain bred by Kotton for Rebel Spirit Cannabis of Eugene, Oregon. This strain produces large lime green buds that express engorged trichome-covered calyxes and crimson pistils. Thunderbird Rose is a generous producer that has a healthy resistance to mold and pests. The aroma is floral with notes of deep green forest, fuel, and blueberry. Thunderbird Rose is an uplifting and euphoric cross that arouses creativity and enhances mood. "
ten of cups,Sweet-Harlem-Diesel,"Aroused, Talkative, Pear, Diesel, Sweet, hybrid","Sweet Harlem Diesel by Sumo Seeds is a fascinating cross of European and American genetics. This strain was created by first crossing Old Afghani with Honey Rock (Super Widow x Swazi Poison). The Sweet Afghani cut was then crossed with a US cut of the famous Sour Diesel. The resulting union yields a unique hybrid with a citrus-diesel aroma and uplifting mental effects that keep the consumer alert while the subtle body effects settle into the limbs. Sweet Harlem Diesel won 3rd prize for Indoor at the 2017 Balearic Cup. Its breeder recommends utilizing this strain to help relieve stress, depression, and minor physical discomfort.    "
one of swords,Arjans-Ultra-Haze-1,"Euphoric, Focused, Minty, Earthy, Mint, sativa","Arjan’s Ultra Haze #1 is a Dutch sativa bred by Green House Seeds, who combined Neville’s Haze with landrace strains from Cambodia and Laos. With mellow effects that stay cerebrally centered, this strain is perfect for those seeking introspective, meditative moments or a light, active buzz. Four Cannabis Cup placements have won Arjan’s Ultra Haze #1 a sterling reputation, but growers will have to wait with agonizing patience for its buds to finish their 13 weeks of flowering."
one of swords,Alice-In-Wonderland,"Focused, Euphoric, Pine, Mint, Sweet, sativa","Alice in Wonderland is a mostly sativa strain with euphoric cerebral effects. It provides an elevated sensory experience, making it a favorite strain for creative pastimes, outdoor activities, a laid-back weekend, or daytime stress relief. Said to be a descendant of Willy’s Wonder, Alice in Wonderland has many therapeutic qualities, especially for those suffering from anxiety or depression."
one of swords,Dutch-Dragon,"Euphoric, Relaxed, Citrus, Sweet, Mint, sativa",Dutch Dragon is a sativa variety bred by Paradise Seeds.  She loves warmer climates and can grow as high as 9 feet tall outside so make sure you have ample vertical room.
two of swords,Afghan-Haze,"Sleepy, Relaxed, Earthy, Flowery, Tea, hybrid","Afghan Haze is a sativa-dominant hybrid that combines a resinous Afghani indica with a sweet-smelling Haze sativa. Created by former Sensi breeder Nevil Schoenmaker and Shantibaba of Mr. Nice Seeds, Afghan Haze balances energizing cerebral invigoration with soothing full-body effects. Its clear-headed relief allows patients to treat pain, depression, and appetite loss during the day, and heavier doses can help ease the mind and body into peaceful sleep. Afghan Haze may have an excruciatingly long indoor flowering time of 10 weeks, but the large harvests of potent, crystal-covered buds are worth waiting for. "
two of swords,Crimea-Blue,"Happy, Uplifted, Berry, Tea, Blueberry, hybrid",Crimea Blue is a hybrid strain bred by Barney's Farm that is a cross between Blueberry and Crimean hash plant.  This short plant completes flowering in 8 to 9 weeks and produces higher than average yields.   
three of swords,Super-Cheese,"Tingly, Euphoric, Cheese, Blue, Cheese, Earthy, indica","Super Cheese, bred by Positronics, is a throwback to the old school strains that filled the coffee shops of Amsterdam in the late 1980s. Super Cheese was created through inbreeding, crossing Cheese genetics with another select phenotype believed to be Exodus Cheese. The aroma of this indica-dominant hybrid is a mix of skunky musk and a pungent blue cheese funk that has become synonymous with Cheese varieties. The flavor is a strong, smooth blend of bittersweet herbs and cream, like an earthy buttermilk."
three of swords,Bubble-Cheese,"Relaxed, Hungry, Blue, Cheese, Cheese, Pungent, indica","Bubble Cheese, bred by Big Buddha Seeds, is an 85% indica strain that brings in genetics from Cheese, Bubble Gum, and Hubba Bubba Kush. With an earthy, hashy aroma, Bubble Cheese delivers sedating effects that relax the mind and body without heavy mental cloudiness."
three of swords,Josh-D-Og,"Aroused, Tingly, Berry, Blueberry, Blue, Cheese, indica","Josh D OG by Karma Genetics is a handcrafted OG hybrid with a lineage stretching back to Florida, 1991. Josh D and Matt “Bubba” Berger began developing these genetics in Orlando and helped define the OG culture we know today. This strain is a three deep cross of SFV OG x Triangle Kush x Hell’s Angels OG and offers consumers relaxing effects with an amplified Kush flavor. This indica-dominant hybrid is euphoric and happy while still saddling consumers with potent mid-level sedation.   "
four of swords,Spoetnik-1,"Focused, Sleepy, Flowery, Lavender, Rose, indica","Spoetnik #1 by Paradise Seeds (not to be confused with Sputnik) is named for the CCCP satellite sent into space in 1957. While the full genetic cross remains a mystery, this plant exhibits strong Afghani traits, including rich, dark buds that have an earthy aroma intermixed with subtle fruitiness. This plant is tall and resilient, making it ideal for new growers seeking a plant with a larger than average yield.  "
four of swords,Purple-Buddha,"Euphoric, Relaxed, Lavender, Berry, Sweet, indica",Purple Buddha is a cross between The Purps and Blue Buddha.  Combines grape flavors of the Purps with the creamy berry tastes of Blue Buddha.
six of swords,Bedford-Glue,"Happy, Uplifted, Pepper, Pine, Sage, hybrid","Bedford Glue is a Midwest twist on one of the cannabis industry’s rising stars. This strain was created by combining Gorilla Glue #1 with Highwayman, lending a stimulating alertness to Gorilla Glue #1’s robust potency. It has a forest-like aroma with notes of pine, pepper, and herbs. Bedford Glue is generally a heady strain with mild body effects, making it an suitable hybrid for consumers seeking a THC content above 20% without overly debilitating effects.  "
six of swords,Az-Super-Sour-Og,"Uplifted, Happy, Pungent, Sage, Woody, hybrid","VOTS AZ Super Sour OG from Valley of the Sun is a sour and skunky hybrid strain that can test as high as 24% THC. Its sativa-dominant genetics ease consumers into euphoric focus, making it a perfect daytime strain for creative pastimes and social gatherings. The uplifting qualities are recommended for depression and stress, but novice consumers should take caution as its psychoactive effects can become overwhelming in large doses."
six of swords,Atomic-Goat,"Relaxed, Uplifted, Spicy/Herbal, Nutty, Sage, hybrid","Atomic Goat is a Seattle-born staple that came about in 2010 when a Chernobyl male pollinated a Golden Goat clone. This hybrid offspring inherits a sweet herbal aroma likened to that of sage as well as a heavy coat of crystal trichomes that often push Atomic Goat past the 20% THC mark. Although Atomic Goat induces deep relaxation of the mind and body, it allows enough energy to shine through to justify its daytime use."
six of swords,Milf,"Happy, Euphoric, Earthy, Sweet, Sage, hybrid","MILF, also known as MILF Weed, from Mother Chucker’s Seeds takes its name from an acronym for Marijuana I’d Like to Flower. This sativa-heavy hybrid crosses White Widow with a select cut of Trainwreck from Arcata, California (e-32). While there is a known indica-dominant phenotype floating around, the MILF strain tends to be led by a strong heady buzz that elevates your mood."
seven of swords,Congo,"Uplifted, Energetic, Ammonia, Diesel, Sweet, sativa","Congo by Ace Seeds is a sativa-dominant cross of two Congolese strains, Bangi Congo x Congo #3 and Pakistan Chitral Kush. This genetic combination offers consumers a clean, smile-inducing high that is brimming with positive energy. The mixture of stimulating sativa genetics and heady Kush genetics creates a blend of euphoric introspection and vigor. Enjoy Congo throughout the day to improve mood and stave off lethargy and depression.  "
seven of swords,Madcow,"Sleepy, Uplifted, Sweet, Earthy, Ammonia, sativa","Madcow descends from two high-energy sativas, Durban Poison and Purple Cow. With a heavy blanket of crystal resin, this strain is a solid choice for veteran consumers and for making concentrates. This pure-blooded sativa will hit you with weightless cerebral effects and induce fits of laughter. Smooth yet spicy, this flower releases a flavor similar to that of butterscotch."
nine of swords,Double-Mint,"Uplifted, Euphoric, Minty, Mint, Lemon, indica","Double Mint by Natural Genetics Seeds is an indica-dominant cross of signature genetics. By pairing SinMint Cookies with Mint Chocolate Chip, NSG backcrosses Mint Chocolate Chip with its mother plant, reinforcing the sweet, minty terpenes of this strain’s resinous, rock-like buds. Double Mint has a punctual 63-day flowering time and generous resin production, making it a perfect strain for extraction. Its sedative effects and mind-numbing euphoria make it an ideal “end of the day” strain to shrug off stress and be so chill, you’re minty.  "
nine of swords,Super-Chronic,"Happy, Relaxed, Earthy, Pine, Minty, indica","Super Chronic is an indica-dominant cross between a pre-‘98 Chronic and Critical Kush. Super Chronic brings you a smooth, sweet flavor with hints of skunk, lemon, and pine. Cultivated for potency and strong medical benefits, Super Chronic is a sublime strain with high levels of THC and CBD for a calming cerebral high."
nine of swords,Hades-Haze,"Relaxed, Sleepy, Citrus, Minty, Earthy, indica","Hades Haze is a devilish bent on classic Haze genetics. Known for its rarity and indica-dominant nature, Hades Haze drops sedating weight on the consumer while still hazing the mind with a potent euphoria. Usually accompanied by a THC content of 20% or higher, Hades Haze’s powerful euphoria gives way to creativity, laughter, and a lighthearted demeanor ideal for a night of movies and video games. Hades Haze exhibits its true indica nature with continued consumption, weighing on the limbs and eyes while encouraging rest and relaxation. Utilize Hades Haze to combat insomnia, anxiety, and pain.   "
nine of swords,Dorit,"Relaxed, Euphoric, Ammonia, Spicy/Herbal, Minty, indica","Dorit is a 70/30 indica-dominant strain tailored for patients treating pain, inflammation, indigestion, appetite loss, nausea, and sleep disorders. Bred in Israel by Tikun Olam, this strain inherits its name from Dorit Cohen, who helped found the company. "
nine of swords,Kali-China,"Creative, Relaxed, Spicy/Herbal, Minty, Pepper, indica","Kali China, bred by Ace Seeds, is a 75% indica strain that combines an uplifting Kali Mist with the potent China Yunnan. This strain inherits stimulating and engaging effects from its sativa parent along with a short flowering time from the China Yunnan indica. Aromas of sweet mango intermix with earthy notes of hash and spice in an intricate flavor profile. Kali China’s effects command relaxation, but leave the mind nimble enough for conversation and focus. When grown indoors, Kali China finishes flowering after 45 to 55 days while outdoor gardens complete their bloom during the September-October transition. "
ten of swords,Spoetnik-1,"Focused, Sleepy, Flowery, Lavender, Rose, indica","Spoetnik #1 by Paradise Seeds (not to be confused with Sputnik) is named for the CCCP satellite sent into space in 1957. While the full genetic cross remains a mystery, this plant exhibits strong Afghani traits, including rich, dark buds that have an earthy aroma intermixed with subtle fruitiness. This plant is tall and resilient, making it ideal for new growers seeking a plant with a larger than average yield.  "
one of pentacles,Paris-Xxx,"Creative, Aroused, Sweet, Pungent, Nutty, indica","Paris XXX is an extension of the Paris OG family that has placed in multiple Cannabis Cup competitions. This indica variety combines Headband OG, Chemdawg, and OG Kush genetics, creating a crisp, piney, and woody flavor on inhale. The fast-acting effects provide a balance of cerebral stimulation and full-body relaxation. Paris XXX is known to increase your appetite while also sparking creativity. "
one of pentacles,Afghan-Hawaiian,"Tingly, Sleepy, Nutty, Earthy, Chestnut, indica","Afghan Hawaiian is an indica-dominant hybrid of UK Cheese and Lavender bred by Canadian LP OrganiGram, Inc. The sweet mix of earthy, cheese flavors has hints of licorice and caramel undertones and produces a rush of euphoria that levels off into deep relaxation. OrganiGram classifies Afghan Hawaiian with their NDS varieties and recommend it for neurological disorders and spasticity. "
two of pentacles,Silver-Calyx,"Aroused, Energetic, Lemon, Tree, Fruit, Pine, hybrid","Silver Calyx by Calyx Garden is a balanced hybrid created from potent and popular genetics. This strain is a cross of Platinum Calyx (a Platinum GSC mashup) and a rogue seed found in a GG#4 bag. The sticky, trichome laden exterior makes Silver Calyx an apt name for this pungent flower. It has a classic GG#4 aroma full of earth and skunk, but also has a distant, sweet berry undertone. Utilize Silver Calyx to help stave off headaches, minor physical discomfort, and insomnia. "
two of pentacles,Clementines-Terpentine,"Aroused, Uplifted, Sweet, Earthy, Pine, hybrid","Clementine’s Terpentine by Taste Budz is a skunky 24K Gold phenotype that smells like turpentine. Turpentine, for those who don’t know, is a solvent rendered from the resin of tree, usually pine trees. This hybrid strain has dense, bulbous nugs and delicate orange hairs. The buds give off a sour, sweet aroma and can help you get physically active or mentally engaged."
two of pentacles,Moonwalker-Kush,"Relaxed, Euphoric, Earthy, Pine, Minty, hybrid","Moonwalker Kush is a balanced indica-dominant hybrid that is the genetic cross of Triple OG and Tahoe Alien. This odoriferous combination speaks volumes through its scent, which is thick with soured earth and a hint of pepper on the finish. The herbaceous terpene profile aligns nicely with this strain’s intense relaxation and moderate cerebral effects. Try Moonwalker Kush after dark to harness the sedative effects nestled below layers of trichomes and brown pistils.    "
two of pentacles,Banana-Cream-Og,"Relaxed, Creative, Minty, Mint, Pine, hybrid","Banana Cream OG is grown by Vagrant Hill Farms of Forest Grove, Oregon. This strain is a hybrid cross of Blue Dream, Banana OG, and Ocean Beach OG. It emits strong notes of orange and spearmint, and expresses tight lime green buds. Not much more is known about this strain other than its heavy, OG-forward effects that lay into the body and gain weight with continued consumption."
two of pentacles,Pine-Queen-Dream,"Aroused, Uplifted, Earthy, Woody, Pine, hybrid","Pine Queen Dream by Piranha Seeds is a deep cannabis cut combining esoteric genetics with familiar favorites. Created from Pine Queen Haze (a cross of Pursuang Haze and Pine Queen) and Blue Dream, this sativa-dominant hybrid offers consumers a potent cerebral high alongside a rich pine aroma. The flavor is also woodsy and herbal, with notes of spice from the strain’s latent Haze genetics. Its uplifting mental effects can help improve mood and nullify stress while the physical effects remain potent and persistent with continued consumption. This strain was produced for and is grown by Green Acres Pharm.  "
three of pentacles,Alohaberry,"Energetic, Uplifted, Berry, Apple, Chestnut, hybrid","Originating from the tropical islands of Hawaii, Alohaberry releases a pleasant aroma and taste of tropical berries. It is known for its unique sweet taste and because it is an equal hybrid, the effects are both mind and body. Flowering time for this plant is approximately 8-9 weeks."
four of pentacles,Purple-Swish,"Happy, Energetic, Berry, Sweet, Grape, indica","Purple Swish is an intensely fruity indica strain. It’s a cross of Purple Urkle and Rare Dankness #1, and expresses dark buds with deep purple hues. This strain’s deep relaxation is coupled with giggly euphoria that will glue you to the couch with a smile on your face. The grower recommends utilizing Purple Swish for migraines, ADD/ADHD, and stress. Purple Swish also has a snappy 50 to 60 day flowering time.  "
four of pentacles,Sin-City-Kush,"Relaxed, Euphoric, Grape, Pine, Nutty, indica","Sin City Kush is an 80/20 indica-dominant cross of LVPK and Snowdawg bred by Alphakronik Genes Seeds. The buds of Sin City Kush are a mix of deep purple and green hues with a glossy coat of white trichomes and a compelling floral aroma. Don’t expect to accomplish much when trying Sin City Kush -- the indica influence weighs heavy on the body and mind, so this strain is best enjoyed after your daily tasks are complete."
four of pentacles,Fat-Purple,"Aroused, Euphoric, Berry, Grape, Sweet, indica","Fat Purple by Hazeman is an indica-dominant strain with big buds and potent effects. By crossing a Purple Rhino and G13 hybrid with Fat Marty, Hazeman achieved a strain with uplifting euphoria and soothing physical attributes. With a grow time of approximately 8 to 10 weeks, Fat Purple needs slightly more attention than your average grow, but patient growers will be rewarded with a healthy yield of deep purple buds dense with trichomes. Enjoy Fat Purple to mute depression and minor physical pain, and to improve mood. "
four of pentacles,Grape-Drink,"Tingly, Creative, Grape, Sweet, Flowery, indica","Grape Drink is a sweet cross of familiar genetics. Kimbo Kush x Grape God offer their best attributes to this indica, expressing themselves as large spear-shaped colas from Kimbo Kush and the intoxicatingly sweet aroma of Grape God. While Grape Drink’s sweet candy flavor is enough to win over consumers from coast to coast, its luscious body effects and reflective mental state make it a must-have. Enjoy Grape Drink in small doses for a manageable all-day indica, but continue to consume this heady cut and anticipate heavy body effects that lead toward rest and relaxation.       "
four of pentacles,Purple-Monkey-Balls,"Happy, Relaxed, Grape, Earthy, Sweet, indica","The genetic heritage of Purple Monkey Balls is somewhat murky. What we do know is that it is an indica-dominant mix of a Northern Californian purple strain -- some claim Mendo Purps, others Granddaddy Purple -- and an indica from Afghanistan, believed to be Deep Chunk. The bulbous purple buds produces a fruity grape aroma that gives way to sweet flavors of pine and berry. The sedating indica effects produce deep relaxation great for chronic pain, but best saved for the end of the day if you need to remain productive."
five of pentacles,Deep-Chunk,"Happy, Relaxed, Plum, Earthy, Ammonia, indica","This pure indica from Afghanistan was introduced to Northern California by breeder Tom Hill in the late 1970s. Deep Chunk combines a relatively short flowering time with exceptional resin production. It is often found with hints of purple or deep reds in the tight, compact flowers. The aroma of this stout, broad-leafed plant is regularly described with flavors of earth, hash, chocolate, and pine. Classified by many as 'old school,' Deep Chunk is sure to induce feelings of nostalgia that coincide with its ability to relieve ailments such as insomnia, digestive issues, and chronic pain."
six of pentacles,Super-Sweet,"Happy, Relaxed, Sweet, Honey, Berry, hybrid","Super Sweet is an indica-dominant hybrid strain that was bred in Flint, Michigan by Masterpiece Medical Group. This decades old heirloom strain entices the senses with a floral candy-like aroma and a frosty layer of crystal resin that blankets tight, dense buds. With a modest THC content that typically measures around 13-14%, Super Sweet is a good choice for novice consumers or those looking for a less intoxicating buzz. Its mellow euphoria resonates cerebrally while long-lasting relaxation takes over mind and body. "
six of pentacles,Critical-47,"Relaxed, Sleepy, Honey, Skunk, Sweet, hybrid","Critical 47 is hybrid in genetics and by name. A sweet, skunky cross between Critical Mass and AK-47 Critical 47 has a reputation for its pungent aroma and happy, relaxing effects. The rapid finishing time and flavors of mango, peach, and vanilla make Critical 47 a treat for growers and consumers alike. It is a great strain for cloning due to its small internodal distance and thick branches. However, its stong odor encourages the use of carbon filters when grown indoors."
six of pentacles,Grand-Hustle,"Uplifted, Relaxed, Honey, Earthy, Citrus, hybrid","Grand Hustle is a hybrid strain that is designed to help give users a vacation from the hustle and bustle of their lives. A cross of Afgoo and Green Crack, this strain takes after the more sativa nature of the latter and provides uplifting, focused effects. Potent and well-balanced, this hustle is one that’s worth giving a try."
six of pentacles,Diesel-Duff,"Euphoric, Happy, Sweet, Flowery, Honey, hybrid","Diesel Duff is a happy, mellow strain that may just have your thoughts spinning off into new tangents. This strain’s effects tend to be more sativa in nature, taking after its Sour Diesel genetics. It’s a great choice for taming the mind during daytime and getting things done as long as your pursuits are not too labor-intensive."
seven of pentacles,Pineapple-Sage,"Uplifted, Creative, Sage, Sweet, Lemon, sativa","Pineapple Sage by Love Genetics is a backcross of CBD Rich Blessing with a unique expression of recessive genetics. It boasts a strong THC-dominant cannabinoid profile despite being created from relatively balanced 2:1 THC/CBD strains. This unique expression of the CBD Rich Blessing yields a tropical and herbal terpene profile of citrus and sage with effects that are centered and sativa-forward. Pineapple Sage is motivating and optimistic without being overstimulating, making it a helpful companion for active cannabis consumers. "
seven of pentacles,1024,"Uplifted, Happy, Spicy/Herbal, Sage, Woody, sativa","1024 is a sativa-dominant hybrid bred in Spain by Medical Seeds Co. The breeders claim to guard the secret genetics due to security reasons, but regardless of its genetic heritage, 1024 is a THC powerhouse with a sweet and spicy bouquet. Subtle fruit flavors mix with an herbal musk to produce uplifting sativa effects. One specific phenotype is noted for having a pungent odor that fills a room, similar to burning incense."
seven of pentacles,Sage-N-Sour,"Energetic, Happy, Sage, Earthy, Spicy/Herbal, sativa","Sage N Sour by T.H. Seeds is a 75% sativa strain that unites the sharply pungent Sour Diesel with their SAGE hybrid. With an aroma that closely matches the subtle herbal notes of sage, Sage N Sour delivers a perfect balance of euphoria, energy, and happiness to its consumer. Growers will appreciate the generous yields this sativa has to offer following its 60 to 65 day flowering cycle."
eight of pentacles,Chocolate-Rain,"Creative, Happy, Sweet, Vanilla, Coffee, hybrid","Chocolate Rain by Eskobar Seeds is a flavorful mashup of exceptional genetic stock from two exceptional breeders. An indica-dominant hybrid cross of DNA Genetics’ Chocolope and DJ Short’s Cocoa Kush, this twice-deep chocolate pairing emits a bittersweet cocoa aroma with touches of blueberry and floral Kush notes on the finish. The strain’s effects are balanced, offering happy, relaxing mental and physical effects that aren’t overwhelming. Chocolate Rain has a decent yield and an average 9 to 10 week flowering period.   "
eight of pentacles,Sasquatch-Sap,"Creative, Relaxed, Diesel, Coffee, Earthy, hybrid","3C Sasquatch Sap is a unique and heady sativa, dishing out a strong meditative mental state from the onset that slinks down into the body. The aroma and flavor of this flower’s tightly bound colas are distinctive, leading with a heavy dose of diesel and finishing with tartness on the palate. This strain is a hybrid blend of Chem’s Sister and Chocolate Diesel, doling out semi-stimulating qualities that fill the body with warmth while setting the mind free. Enjoy this strain before physical activity for a complementary body high, or after physical activity to reinvigorate the mind and im-bue the body with an airy lightness.  "
eight of pentacles,La-Kookies,"Hungry, Relaxed, Earthy, Coffee, Berry, hybrid","LA Kookies is Los Angeles Kush’s version of the legendary California native, Girl Scout Cookies. This strain takes a potent GSC phenotype and crosses it with OG Kush Breath, a genetic relative of GSC. This tertiary backcross enriches the strain’s Cookie attributes while enhancing its savory terpene profile. The aroma is pungent and doughy with touches of pine, while the flavor is sweet with candied cherries, butter cookies, and earth. This perfect middle-of-the-road hybrid relaxes the body while enhancing mood, making it a natural complement for consumers suffering from chronic pain. "
eight of pentacles,Caramel-Candy-Kush,"Relaxed, Happy, Vanilla, Coffee, Sweet, hybrid","Caramel Candy Kush is an indica-dominant hybrid of Pre-98 Bubba Kush and Ms. Universe bred by Dynasty Seeds. There are two distinct phenotypes, one that is Bubba-dominant and the other that is led by Ms. Universe genetics. Caramel Candy Kush expresses itself with flavors of sugary caramel, fruity notes of cherry and grape, and a creamy coffee finish that offers an immediate rush of heady effects and provide calming relief from chronic pain. The complex terpene profile and excellent resin production make this a great choice for producing hash and other concentrates."
eight of pentacles,Karma-Bitch,"Uplifted, Creative, Earthy, Coffee, Tea, hybrid","Karma Bitch is a 50/50 hybrid cannabis strain bred by Rare Dankness using parent strains Skywalker OG and Nevil’s Wreck. It produces a well-balanced cerebral sensation with lingering notes of chocolate and coffee. Once the pistils turn a fiery orange color around 9-10 weeks, the resinous flowers will be ready for harvest."
nine of pentacles,Blackberry-Cream,"Relaxed, Happy, Berry, Sweet, Vanilla, indica","Blackberry Cream from Exotic Genetix combines the sweet berry terpenes of Blackberry Kush with the smooth creamy notes of Cookies and Cream. This 70% indica hybrid produces THC levels up to 25%, above average yields, and is an excellent choice for hash making."
nine of pentacles,Pink-Sunset,"Relaxed, Euphoric, Sweet, Berry, Vanilla, indica","Pink Sunset is the indica phenotype of the delicious indica-dominant hybrid Sunset Sherbert. This sugary strain has roots in Girl Scout Cookies, but pushes the functional sedation of its OG Kush and Cherry Pie parentage into the realm of full-body relaxation. Use this strain after work to unwind or on the way to bed as a dreamy dessert that combats insomnia, chronic pain, and nausea.   "
nine of pentacles,Caramel-Kona-Coffee-Kush,"Relaxed, Uplifted, Coffee, Vanilla, Woody, indica","Caramel Kona Coffee Kush is a flavorful, alliterative cross by Pua Mana 1st Hawaiian Pakalōlō Seed Bank. This sweet wahine is luscious on the palate and heavy on the body, draping the limbs in cushy, weighted relaxation. CKC Kush’s Caramel Kush mother gives this strain its predominant flavor and physical effects, but the strain’s Kona Gold father shines through in latent spicy undertones and heady mental buzz. Noted as one of the most delicious strains in the Pua Mana archives, Caramel Kona Coffee Kush is a perfect strain to shrug off stress and treat yourself at the end of the day.  "
nine of pentacles,Truffle-Butter,"Aroused, Sleepy, Sweet, Vanilla, Chestnut, indica","Truffle Butter by THClones is a sedating genetic cross with sweet terpenes. Created by crossing Gelato and Chocolate Kush, this strain’s aroma is a mixture of fruit, caramel, and floral notes. Truffle Butter gently sedates the body, turning even seasoned consumers into lethargic couch potatoes. This strain’s relaxing qualities make it ideal for abating stress and insomnia.  "
nine of pentacles,White-Kush,"Relaxed, Sleepy, Nutty, Honey, Vanilla, indica","White Kush is the dreamy daughter of Afghan Kush and White Widow. A powerful indica, this strain will put you to sleep in a hurry. Taking after its kush heritage, White Kush features a strong and incredibly pungent aroma and is the perfect strain for relaxation and stress relief, great for winding down at the end of the day. Typically flowering between 8-10 weeks, this strain is good for both indoor and outdoor cultivation. "
ten of pentacles,Michael-Phelps-Og,"Relaxed, Hungry, Pine, Pear, Earthy, hybrid","When word got out that the Olympic gold medalist enjoyed cannabis, it was only a matter of time before a strain would be named in his honor. Michael Phelps OG is a hybrid strain that no doubt carries OG Kush genetics, but other ancestry remains uncertain. You can smell the OG in this one as earthy, sweet notes of pine and lemon explode on the exhale. Small doses of Michael Phelps OG leave your mind and body agile, but overdo it and you’re more likely to find the effects ironically lazy and inactive."
